customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerFeedback
5375,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,i have been using the dsl internet service from this provider for the past month and so far i am satisfied with the service the connection has been reliable and the speed is sufficient for my needs the monthly charges are reasonable at 29 85 and i appreciate the convenience of paying through electronic check overall i have had a positive experience and would recommend this provider to others
3962,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,i have been a customer with this company for over two and a half years now and i have been very satisfied with their service the dsl internet has been reliable and the monthly charges are reasonable at 56 95 i prefer to pay by mailing in a check and have never had any issues with my payments overall i have no complaints and would recommend this company to others looking for internet service
2564,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,i recently signed up for dsl internet service with this provider two months ago on a month to month contract unfortunately i have already decided to churn and switch to a different provider the monthly charges of 53 85 were reasonable but i found the internet service to be unreliable and slow additionally having to mail in a check for payment was inconvenient and outdated i would not recommend this provider to others looking for reliable and convenient internet service
5535,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,i have been a loyal customer with this company for 45 months now and i am very satisfied with the service they provide the monthly charges are reasonable at 42 3 and i appreciate the convenience of automatic bank transfer for payment the dsl internet service has been reliable and meets my needs overall i have had a positive experience with this company and have no plans to churn in the near future
6511,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,i recently switched to this fiber optic internet service provider two months ago on a month to month contract the monthly charges of 70 7 seemed reasonable at first but unfortunately i have experienced frequent outages and slow speeds the payment method of electronic check has been convenient but i am disappointed with the overall service i have decided to churn and look for a more reliable internet provider
6551,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,i recently decided to churn from this internet service provider after 8 months of being a customer the monthly charges of 99 65 for fiber optic internet were reasonable but i found the service to be inconsistent and unreliable the payment method of electronic check was convenient but ultimately i was not satisfied with the overall experience i will be looking for a new provider that can offer more reliable service
1002,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,i have been a customer with this company for 22 months now and have been extremely satisfied with the service the fiber optic internet service is fast and reliable and i have had no issues with connectivity the automatic credit card payment method is convenient and ensures that my bill is always paid on time the monthly charge of 89 1 is reasonable for the quality of service i receive overall i have no complaints and would highly recommend this company to others
4770,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,i have been a customer with this company for 10 months now and i am very satisfied with the dsl internet service they provide the monthly charges are affordable at 29 75 and i appreciate the flexibility of the month to month contract i prefer to pay by mailing a check and have had no issues with the billing process overall i have had a positive experience with this company and have no intentions of churning
5604,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,i recently decided to cancel my service after 28 months with the company while i appreciated the fast and reliable fiber optic internet service provided i found that the monthly charges of 104 80 were becoming too expensive for my budget the ability to pay with an electronic check was convenient but ultimately i had to switch to a more affordable option i would consider returning in the future if there are more competitive pricing options available
4534,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,i have been a customer with this dsl provider for over five years now and i have been satisfied with the service overall the automatic bank transfer for payment has been convenient and hassle free the monthly charges of 56 15 are reasonable for the internet service i receive i appreciate the consistency of the service and have not experienced any issues that would lead me to consider churning to a different provider overall i am happy with my experience as a long term customer
6871,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,i have been a customer with this internet provider for 13 months now and i am overall satisfied with the service the monthly charges of 49 95 for dsl internet are reasonable and the speed is sufficient for my needs i appreciate the flexibility of the month to month contract as it allows me to easily make changes if needed the only downside is that i have to pay by mailed check which can be a bit inconvenient overall i have had a positive experience and have not experienced any issues that would make me consider switching providers
5288,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,i have been a customer with this company for 16 months now and i am happy to say that i have not experienced any issues with their service the monthly charges of 18 95 are affordable and the automatic credit card payment method makes it convenient for me to pay my bills on time even though i do not have internet service with them i have been satisfied with the overall customer experience i am looking forward to continuing my contract with them for the remaining duration
5751,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,i have been a customer with this fiber optic internet service provider for 58 months now and i have been very satisfied with the service the connection is fast and reliable and i have never experienced any issues with my internet connection the monthly charges of 100 35 are reasonable for the quality of service that i receive i appreciate the convenience of automatic credit card payments which makes it easy to manage my bill overall i have no complaints and would recommend this provider to others
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,i recently decided to switch internet providers after being with my previous provider for almost four years while the fiber optic internet service was reliable and fast the monthly charges of 103 70 were a bit steep for me especially since i was on a month to month contract the automatic bank transfer payment method was convenient but ultimately i decided to shop around for a more cost effective option overall i had a positive experience with the service itself but the pricing ultimately led me to churn
3615,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,i have been a customer with this company for 25 months now and i am very satisfied with the service the fiber optic internet is fast and reliable and i have had no issues with connectivity the monthly charges of 105 5 are reasonable for the quality of service provided i appreciate being able to pay with electronic check as it is convenient and easy to manage overall i have no complaints and am happy to continue with this service on a month to month basis
2556,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,i have been a customer with this company for almost 6 years now and i have been extremely satisfied with their fiber optic internet service the speed and reliability have been excellent and i have never had any issues with connectivity the automatic credit card payment method is convenient and hassle free even though the monthly charges are a bit on the higher side at 113 25 i believe the quality of service justifies the cost overall i am very happy with my experience and have no plans to churn anytime soon
5820,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,i have been a customer with this company for over four years now and i have never had any issues with their service the monthly charges are very affordable at 20 65 and i appreciate the option to pay by mailed check even though i do not have internet service with them i have been satisfied with the quality of their customer service and overall experience i am happy to say that i have not experienced any reason to consider churning from this company
7019,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,i have been a customer with this company for over 6 years now and i am extremely satisfied with the service i have received the fiber optic internet service has been reliable and fast and i have had no issues with connectivity the automatic bank transfer for payment has been convenient and hassle free the monthly charges of 106 7 for the two year contract are reasonable for the quality of service provided overall i would highly recommend this company to others looking for a reliable internet service provider
2937,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,i have been a customer with this internet service provider for 10 months on a month to month contract with automatic credit card payments unfortunately i have decided to churn due to the unreliable dsl internet service the monthly charges of 55 2 were reasonable but the frequent outages and slow speeds were not worth the cost i would recommend looking into other internet service providers for more reliable service
2928,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,i have been a customer with this company for 21 months and have been satisfied with the fiber optic internet service the monthly charges of 90 05 are reasonable for the speed and reliability of the connection i appreciate the convenience of paying with electronic check and have had no issues with billing or service interruptions overall i am happy with my experience and have no plans to switch providers
6207,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,i recently signed up for dsl internet service with this provider on a month to month contract after just one month i decided to cancel due to slow and unreliable internet speeds the monthly charges of 39 65 were reasonable but i expected better performance for the price i also found the payment method of electronic check to be convenient overall i was disappointed with the service and chose to churn after only one month
